UserID,Age,Gender,Country,State/Territory,Do you know the options for mental health care available under your employer-provided health coverage?,Does your employer offer resources to learn more about mental health disorders and options for seeking help?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?"
274,34,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
275,38,Male,United States,Pennsylvania,Did Not Answer,Did Not Answer,Did Not Answer
276,33,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
277,34,Male,United States,Missouri,Did Not Answer,Did Not Answer,Did Not Answer
278,28,Male,Colombia,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
279,28,Male,United States,Minnesota,Did Not Answer,Did Not Answer,Did Not Answer
280,23,Male,United States,Pennsylvania,Did Not Answer,Did Not Answer,Did Not Answer
281,22,Male,Australia,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
282,27,Male,Portugal,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
283,18,Male,United States,Texas,Did Not Answer,Did Not Answer,Did Not Answer
284,35,Male,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
285,25,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
286,27,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
287,26,Female,United States,Washington,Did Not Answer,Did Not Answer,Did Not Answer
288,18,Male,United States,Washington,Did Not Answer,Did Not Answer,Did Not Answer
289,38,Female,United States,Texas,Did Not Answer,Did Not Answer,Did Not Answer
290,26,Female,United States,Texas,Did Not Answer,Did Not Answer,Did Not Answer
291,30,Male,Switzerland,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
292,35,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
293,45,Male,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
294,32,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
295,56,Male,United States,Not Provided,Did Not Answer,Did Not Answer,Did Not Answer
296,24,Female,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
297,30,Female,United States,South Carolina,Did Not Answer,Did Not Answer,Did Not Answer
298,60,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
299,33,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
300,37,Male,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
301,23,Female,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
302,31,Female,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
303,26,Male,United States,Massachusetts,Did Not Answer,Did Not Answer,Did Not Answer
304,28,Female,United States,Washington,Did Not Answer,Did Not Answer,Did Not Answer
305,37,Female,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
306,26,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
307,30,Other,United States,Illinois,Did Not Answer,Did Not Answer,Did Not Answer
308,26,Male,United States,Indiana,Did Not Answer,Did Not Answer,Did Not Answer
309,25,Male,United States,Oregon,Did Not Answer,Did Not Answer,Did Not Answer
310,27,Male,United States,Tennessee,Did Not Answer,Did Not Answer,Did Not Answer
311,25,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
312,35,Male,United States,Oregon,Did Not Answer,Did Not Answer,Did Not Answer
313,36,Male,United States,Washington,Did Not Answer,Did Not Answer,Did Not Answer
314,26,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
315,27,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
316,30,Male,United States,Vermont,Did Not Answer,Did Not Answer,Did Not Answer
317,29,Male,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
318,25,Male,United States,Utah,Did Not Answer,Did Not Answer,Did Not Answer
319,22,Female,United States,New York,Did Not Answer,Did Not Answer,Did Not Answer
320,29,Male,Latvia,New York,Did Not Answer,Did Not Answer,Did Not Answer
321,41,Male,United States,South Dakota,Did Not Answer,Did Not Answer,Did Not Answer
322,29,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
323,32,Male,United States,Oregon,Did Not Answer,Did Not Answer,Did Not Answer
324,24,Female,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
325,25,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
326,25,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
327,30,Female,United States,Colorado,Did Not Answer,Did Not Answer,Did Not Answer
328,25,Male,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
329,30,Male,United States,Ohio,Did Not Answer,Did Not Answer,Did Not Answer
330,33,Male,Germany,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
331,24,Male,United States,Washington,Did Not Answer,Did Not Answer,Did Not Answer
332,25,Male,Canada,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
333,31,Male,United States,Ohio,Did Not Answer,Did Not Answer,Did Not Answer
334,45,Male,Ireland,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
335,29,Male,Romania,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
336,46,Male,United States,Washington,Did Not Answer,Did Not Answer,Did Not Answer
337,30,Male,United Kingdom,Not Applicable,Did Not Answer,Did Not Answer,Did Not Answer
338,29,Female,United States,California,Did Not Answer,Did Not Answer,Did Not Answer
339,24,Male,United States,Massachusetts,Did Not Answer,Did Not Answer,Did Not Answer
340,29,Male,United States,Washington,Did Not Answer,Did Not Answer,Did Not Answer
341,35,Male,United States,Michigan,Did Not Answer,Did Not Answer,Did Not Answer
342,33,Female,United States,Washington,Did Not Answer,Did Not Answer,Did Not Answer
