,questiontext,questionid
45,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions.",59
46,Have you ever discussed your mental health with coworkers?,60
47,Describe the conversation with coworkers you had about your mental health including their reactions.,61
48,Have you ever had a coworker discuss their or another coworker's mental health with you?,62
49,Describe the conversation your coworker had with you about their mental health (please do not use names).,63
50,"Overall, how much importance does your employer place on physical health?",64
51,"Overall, how much importance does your employer place on mental health?",65
52,"If you have revealed a mental health disorder to a client or business contact, how has this affected you or the relationship?",66
53,"If you have revealed a mental health disorder to a coworker or employee, how has this impacted you or the relationship?",67
54,Was your employer primarily a tech company/organization?,68
55,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?,69
56,Did you ever discuss your mental health with your previous employer?,70
57,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions.",71
58,Did you ever discuss your mental health with a previous coworker(s)?,72
59,Describe the conversation you had with your previous coworkers about your mental health including their reactions.,73
60,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,74
61,Describe the conversation your coworker had with you about their mental health (please do not use names)..1,75
62,"Overall, how much importance did your previous employer place on physical health?",76
63,"Overall, how much importance did your previous employer place on mental health?",77
64,Are you openly identified at work as a person with a mental health issue?,78
65,Has being identified as a person with a mental health issue affected your career?,79
66,How has it affected your career?,80
67,"If they knew you suffered from a mental health disorder, how do you think that your team members/co-workers would react?",81
68,Describe the circumstances of the badly handled or unsupportive response.,82
69,Have you observed or experienced supportive or well handled response to a mental health issue in your current or previous workplace?,83
70,Describe the circumstances of the supportive or well handled response.,84
71,"Overall, how well do you think the tech industry supports employees with mental health issues?",85
72,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees.,86
73,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so.",87
74,Would you be willing to talk to one of us more extensively about your experiences with mental health issues in the tech industry? (Note that all interview responses would be used _anonymously_ and only with your permission.),88
75,What is your race?,89
76,Do you think that discussing a physical health issue with your employer would have negative consequences?,90
77,Do you feel that your employer takes mental health as seriously as physical health?,91
78,"If you have a mental health condition, do you feel that it interferes with your work?",92
79,Do you work remotely (outside of an office) at least 50% of the time?,93
80,Do you know the options for mental health care your employer provides?,94
81,Has your employer ever discussed mental health as part of an employee wellness program?,95
82,Does your employer provide resources to learn more about mental health issues and how to seek help?,96
83,How easy is it for you to take medical leave for a mental health condition?,97
84,Do you think that discussing a mental health issue with your employer would have negative consequences?,98
85,Would you be willing to discuss a mental health issue with your coworkers?,99
86,Would you be willing to discuss a mental health issue with your direct supervisor(s)?,100
87,Would you bring up a physical health issue with a potential employer in an interview?,101
88,Have you heard of or observed negative consequences for coworkers with mental health conditions in your workplace?,102
89,Any additional notes or comments,103
90,Do you think that discussing a mental health disorder with your employer would have negative consequences?,104
91,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,105
92,"If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?",106
93,"If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?",107
94,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,108
95,Do you think that discussing a physical health issue with previous employers would have negative consequences?,109
96,Would you have been willing to discuss a mental health issue with your previous co-workers?,110
97,Did you feel that your previous employers took mental health as seriously as physical health?,111
98,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,112
99,Do you feel that being identified as a person with a mental health issue would hurt your career?,113
100,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,114
101,"If yes, what condition(s) have you been diagnosed with?",115
102,"If maybe, what condition(s) do you believe you have?",116
103,Which of the following best describes your work position?,117
104,Do you work remotely?,118
